Unnamed: 0,title,author,day,genre,story,platform,webtoon_url,thumbnail_url
10,사랑의 순간,"한유랑,한유랑",일,로맨스,"
그 날, 
당신이 본 건 나야.",카카오,https://webtoon.kakao.com/content/사랑의-순간/2744,https://kr-a.kakaopagecdn.com/P/C/2744/c1/2x/9ef37d03-3d23-4db7-897e-ae6c855c0e6b.png
11,이상징후,"잇선,잇선",일,판타지 드라마,"인생이 지옥처럼
느껴지면 이상 현상이
벌어집니다.",카카오,https://webtoon.kakao.com/content/이상징후/2154,https://kr-a.kakaopagecdn.com/P/C/2154/c1/2x/77ec4dc6-2584-4484-88ee-21e1911174e9.png
12,나에게 온 달,"석빈,석빈",일,액션/무협,"바보 온달과 평강공주의
설화를 바탕으로 한
최강의 액션 판타지",카카오,https://webtoon.kakao.com/content/나에게-온-달/2639,https://kr-a.kakaopagecdn.com/P/C/2639/c1/2x/988ff79d-96f0-4227-b1b6-9964009b6b9d.png
13,해늘골,"기행,기행",일,공포/스릴러,"민우의 고향 '해늘골'
그곳에서 벌어지는
기괴하고 무서운 일들.",카카오,https://webtoon.kakao.com/content/해늘골/2951,https://kr-a.kakaopagecdn.com/P/C/2951/c1/2x/8d3341ec-5b9b-4162-a803-e8a6bab301d6.png
14,남산도서관 환생 북클럽,"송송이,송송이",일,판타지 드라마,"남산도서관의 유령,
환생하고 싶으면
사서와 책을 읽어라!",카카오,https://webtoon.kakao.com/content/남산도서관-환생-북클럽/2835,https://kr-a.kakaopagecdn.com/P/C/2835/c1/2x/cdc40b96-3efd-4a47-b447-84c1930dfc86.png
15,"주문을 말해, 로즈!","해랑,해랑",일,로맨스 판타지,"호환(虎患)으로
죽은 노비 '꽃분'.
이번 생은 살아남으리라",카카오,https://webtoon.kakao.com/content/주문을-말해-로즈/2749,https://kr-a.kakaopagecdn.com/P/C/2749/c1/2x/65cd36b9-d1a2-4ac6-a9bb-2889b60324c1.png
16,퇴마전문학교 사월,"배걱,배걱",일,학원/판타지,"검은 연기 사건 이후,
인생을 빼앗긴 자들이
과거를 되찾으려 한다.",카카오,https://webtoon.kakao.com/content/퇴마전문학교-사월/2980,https://kr-a.kakaopagecdn.com/P/C/2980/c1/2x/afa33af4-3d85-4775-9e81-77bb4c2e02ee.png
17,복원가의 집,"김상엽,김상엽",일,드라마,"어느 날 찾아든 
불청객들과 시작되는
복원에 대한 생활기담!",카카오,https://webtoon.kakao.com/content/복원가의-집/2611,https://kr-a.kakaopagecdn.com/P/C/2611/c1/2x/13ef8452-d003-4079-bbc6-82e6957bf756.png
18,효정의 발화점,"박선우,박선우",일,드라마,"온몸이 불길에 휩싸일
정도로 누군가를 뜨겁게
사랑할 수 있을까?",카카오,https://webtoon.kakao.com/content/효정의-발화점/2793,https://kr-a.kakaopagecdn.com/P/C/2793/c1/2x/36aa547c-12ac-4183-be9f-83867dae92f1.png
19,계단,"낭토,낭토",일,드라마,"계단을 올라간 사람이
죽었다.
이 계단의 정체는?",카카오,https://webtoon.kakao.com/content/계단/2713,https://kr-a.kakaopagecdn.com/P/C/2713/c1/2x/e3de5ebd-ac4f-4f89-96d8-d5ef8db13413.png
20,D-30,"우행우행,연급사",일,학원/판타지,"기한은 단 30일!
일진을 사냥하고
그녀를 구해라",카카오,https://webtoon.kakao.com/content/D-30/2722,https://kr-a.kakaopagecdn.com/P/C/2722/c1/2x/425391c9-57e0-4595-be0c-a1c8e95cfb5f.png
21,짝과 적,"권라드,권라드",일,판타지 드라마,"속물 기자 '구희인'과
영혼 '짛'이 겪는 
판타지 로맨스 드라마",카카오,https://webtoon.kakao.com/content/짝과-적/2756,https://kr-a.kakaopagecdn.com/P/C/2756/c1/2x/df1c122f-b73e-492a-8ee0-9717ac840011.png
